ID,Pengguna_ID,Penjual_ID,Rating,Komentar,Tanggal
1,44,22,2,Since method these look including reflect.,2024-08-26 08:52:32
2,10,23,4,Catch loss full.,2024-08-18 13:54:19
3,34,46,2,Similar possible husband doctor take man own.,2024-08-19 03:41:50
4,48,6,2,Son usually can conference alone decision western against.,2024-08-26 19:57:30
5,13,8,4,Big somebody kid close her budget.,2024-08-18 08:08:33
6,13,50,1,,2024-09-03 08:13:30
7,46,10,3,Strong four push rock late ask.,2024-08-25 18:16:54
8,5,44,3,Fly campaign practice.,2024-09-02 15:12:12
9,14,13,1,Allow benefit blood notice left.,2024-08-31 06:39:09
10,14,41,4,Research spend half car.,2024-08-30 06:54:41
11,42,34,5,,2024-08-14 15:14:38
12,19,48,1,Test per shake data bed traditional.,2024-08-26 16:45:43
13,24,36,3,,2024-08-10 07:03:39
14,9,3,3,,2024-08-20 15:58:05
15,1,9,5,,2024-08-28 20:55:06
16,8,38,1,,2024-08-10 10:46:54
17,8,13,5,Chance decision might from.,2024-08-10 01:33:40
18,17,6,5,Often gas special possible answer.,2024-08-29 18:26:08
19,29,10,4,Listen think let position go.,2024-08-28 02:05:01
20,47,43,1,Bag notice audience traditional town low.,2024-08-13 20:51:34
21,15,30,1,,2024-09-03 07:38:46
22,20,33,5,Week able speech meeting local lead eight.,2024-08-17 16:14:23
23,43,45,1,Behavior fear candidate.,2024-08-11 20:56:26
24,25,41,4,Describe after son society trip.,2024-08-13 22:36:44
25,3,11,5,,2024-08-25 14:19:04
26,12,31,5,Present major sea party under baby feeling.,2024-09-05 04:32:18
27,15,13,3,,2024-08-27 01:53:55
28,40,24,1,Lot natural industry statement letter continue.,2024-08-17 13:27:44
29,39,48,1,,2024-08-12 19:13:36
30,35,39,1,The economy science necessary under available.,2024-08-28 15:57:28
31,30,10,2,Protect another case main billion Democrat idea friend.,2024-08-14 18:11:24
32,44,39,1,Music ready officer.,2024-08-24 01:40:58
33,33,11,5,Face prevent that.,2024-09-07 03:28:00
34,26,26,2,Reach than without seem success than agree.,2024-08-27 16:29:13
35,27,19,2,May understand something clear mission.,2024-08-23 00:49:41
36,43,17,5,Amount painting there painting sign.,2024-08-13 04:04:37
37,1,6,1,Such service sure plant.,2024-08-26 21:53:25
38,48,46,3,Leave course that grow organization pattern white.,2024-08-10 14:55:06
39,18,37,1,,2024-08-26 08:00:29
40,19,16,5,Take through perform blood number provide size.,2024-08-17 05:00:47
41,18,13,3,Your guess medical rock fear.,2024-08-24 07:42:11
42,24,23,5,,2024-08-30 10:52:52
43,23,3,2,Scientist join west light.,2024-08-31 13:20:15
44,17,20,1,Cultural already local hope serve past.,2024-09-01 18:58:25
45,35,41,3,Election at coach effect walk school they.,2024-08-12 11:00:44
46,7,42,1,Set strong manage arrive.,2024-08-18 08:50:55
47,21,39,5,Day book so will money never.,2024-08-18 11:30:21
48,10,3,5,School involve drop message develop they fire.,2024-08-24 10:38:19
49,14,27,4,,2024-09-05 22:02:21
50,46,4,5,,2024-08-26 01:07:25
