ID,Bid_ID,UrutanBid,HargaBid,TanggalBid
1,42,2,811450436.15,2024-08-23 01:30:41
2,11,5,169377723.38,2024-08-14 04:23:35
3,47,1,241854455.85,2024-09-04 19:54:21
4,31,3,983302988.34,2024-08-21 18:00:59
5,41,5,188158734.09,2024-09-01 20:36:24
6,45,1,413519957.22,2024-09-05 06:46:22
7,36,5,602662689.24,2024-08-15 18:13:23
8,18,1,123123238.27,2024-08-14 21:00:01
9,18,3,172320951.1,2024-08-30 17:01:55
10,42,4,724943754.26,2024-08-09 15:31:23
11,48,4,674415225.82,2024-09-06 09:59:27
12,6,5,770890841.73,2024-08-14 22:44:18
13,15,1,730437777.3,2024-08-31 18:13:45
14,12,4,160547688.18,2024-08-15 23:56:35
15,23,5,871811546.8,2024-09-02 00:50:01
16,50,5,894684493.44,2024-08-30 20:45:49
17,36,4,183289449.76,2024-08-16 15:38:45
18,14,1,467827929.39,2024-08-23 16:45:39
19,18,2,102179524.14,2024-08-15 18:21:04
20,38,5,620374276.03,2024-09-03 02:55:31
21,39,1,929248876.05,2024-08-08 20:52:08
22,5,4,477084376.79,2024-08-15 06:05:14
23,8,1,280353503.91,2024-08-09 03:33:42
24,20,2,725186254.13,2024-09-03 18:59:49
25,45,5,604766250.58,2024-08-27 21:08:21
26,26,4,322124745.24,2024-08-11 21:17:25
27,40,1,565078875.5,2024-08-29 15:52:25
28,37,3,681096202.15,2024-09-01 12:59:33
29,29,4,476865219.36,2024-08-15 19:33:58
30,13,3,418043873.38,2024-08-10 18:51:27
31,18,3,401092282.43,2024-09-04 04:32:08
32,8,5,610035060.54,2024-08-27 10:23:09
33,47,1,329010845.22,2024-08-24 18:21:58
34,24,2,956910899.16,2024-08-15 20:32:11
35,14,4,167637604.31,2024-09-02 06:37:22
36,16,3,680306236.36,2024-08-23 16:17:16
37,5,5,936811227.0,2024-08-18 08:05:29
38,20,4,827081760.52,2024-08-12 23:03:06
39,17,2,828305402.31,2024-08-13 07:11:22
40,50,5,522642844.14,2024-09-01 23:02:29
41,24,2,182034766.98,2024-08-27 18:26:12
42,47,5,269164810.32,2024-08-19 04:36:51
43,36,3,733890285.64,2024-08-12 06:34:41
44,27,2,944555840.12,2024-09-01 16:00:00
45,50,3,165637054.79,2024-08-10 21:27:42
46,27,3,704724243.71,2024-09-01 10:10:28
47,23,1,565074832.9,2024-08-17 06:11:04
48,34,4,172068342.33,2024-08-24 16:43:09
49,39,1,130337353.62,2024-08-26 18:54:44
50,30,2,749296474.91,2024-08-13 16:02:35
